regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi
Kabupaten Nganjuk,2021,,125.53,11.85,17.48,81.84,99.03,,4.98,25279.6,,71.97
Kabupaten Nganjuk,2022,1117030.0,113.63,10.7,84.17,83.36,98.67,,4.74,27583.2,867.0,72.93
Kabupaten Nganjuk,2023,,,,19.66,,,,4.68,29916.6,,73.71
Kabupaten Nganjuk,2024,,,,20.43,,,,3.87,32047.5,,75.24
Kabupaten Madiun,2020,744400.0,,,19.1,91.92,97.83,,4.8,25811.1,717.0,71.73
Kabupaten Madiun,2021,,81.61,11.91,19.19,89.09,95.1,,4.99,26801.6,,71.88
Kabupaten Madiun,2022,757670.0,74.07,10.79,73.09,89.4,94.79,,5.84,29109.8,6668.0,72.39
Kabupaten Madiun,2023,,,,20.94,,,,5.14,31587.9,,72.97
Kabupaten Madiun,2024,,,,20.14,,,,4.34,33712.4,,74.81
Kabupaten Magetan,2020,670800.0,,,28.47,88.65,99.46,,3.74,28023.8,974.0,73.92
Kabupaten Magetan,2021,,67.75,10.66,28.77,88.4,99.9,,3.86,29080.7,,74.15
Kabupaten Magetan,2022,678340.0,62.65,9.84,85.87,91.01,98.71,,4.33,31275.4,960.0,74.85
Kabupaten Magetan,2023,,,,23.17,,,,4.16,33627.2,,75.41
Kabupaten Magetan,2024,,,,20.61,,,,3.28,35853.1,,76.77
Kabupaten Ngawi,2020,870100.0,,,16.09,83.67,99.49,,5.44,23322.7,671.0,70.54
Kabupaten Ngawi,2021,,130.81,15.57,16.43,79.35,99.92,,4.25,23838.3,,71.04
Kabupaten Ngawi,2022,877430.0,119.02,14.15,76.37,84.26,99.16,,2.48,25602.3,629.0,71.75
Kabupaten Ngawi,2023,,,,13.32,,,,2.41,27619.3,,72.47
Kabupaten Ngawi,2024,,,,11.75,,,,2.4,29346.5,,73.91
Kabupaten Bojonegoro,2020,1301600.0,,,14.19,89.02,96.94,,4.92,54048.0,592.0,69.04
Kabupaten Bojonegoro,2021,,166.52,13.27,16.1,90.96,97.24,,4.82,64424.3,,69.59
Kabupaten Bojonegoro,2022,1315130.0,153.4,12.21,83.76,91.01,96.51,,4.69,76507.3,569.0,70.12
Kabupaten Bojonegoro,2023,,,,17.9,,,,4.63,74242.2,,70.85
Kabupaten Bojonegoro,2024,,,,21.13,,,,4.42,76808.4,,72.75
Kabupaten Tuban,2020,1198000.0,,,14.92,79.03,97.58,,4.81,52084.9,653.0,68.4
Kabupaten Tuban,2021,,192.58,16.31,17.46,83.8,96.4,,4.68,54739.5,,68.91
Kabupaten Tuban,2022,1209540.0,178.05,15.02,64.64,80.99,97.51,,4.54,62058.7,613.0,69.67
Kabupaten Tuban,2023,,,,14.34,,,,4.4,67175.8,,70.34
Kabupaten Tuban,2024,,,,11.97,,,,4.28,71099.1,,72.31
